"","variety","emmean","SE","df","lower.CL","upper.CL","yr_release"
"44","Lear",11.1586695019817,0.216391813455118,436,10.7333687359557,11.5839702680076,2008
"45","Limes",10.6851417932539,0.169037968324348,436,10.3529112145277,11.0173723719801,2000
"46","Lincoln",10.6847973791419,0.187724678836984,436,10.3158395686012,11.0537551896827,2005
"47","Marconi",10.706444465232,0.248939615618514,436,10.2171736026875,11.1957153277766,2007
"48","Marksman",7.91182720176495,0.312386485488916,436,7.29785660161495,8.52579780191494,1977
"49","Mediator",11.4615601612928,0.244249272261782,436,10.9815077926954,11.9416125298902,2012
"50","Miller",8.21294841909538,0.236159520962748,436,7.74879580830076,8.67710102988999,1984
"51","Napier",10.7479044100874,0.197922493643721,436,10.3589036118761,11.1369052082988,1998
"52","Nautica",7.97607501939749,0.237075650598767,436,7.51012182922902,8.44202820956596,1974
"53","Obelisk",9.26382070530383,0.166458629261912,436,8.93665961077655,9.5909817998311,1984
"54","Okapi",8.64232069291964,0.178623155452197,436,8.29125119712494,8.99339018871435,1975
"55","Pagode",9.15659987665253,0.193435035872735,436,8.77641881703036,9.53678093627469,1986
"56","Patrel",10.8294478805413,0.243253117860744,436,10.3513533735796,11.307542387503,2003
"57","Profilus",10.9561570301345,0.228221676198952,436,10.5076056170226,11.4047084432464,2007
"58","Residence",10.3827057747548,0.139122026442802,436,10.1092725821009,10.6561389674087,1995
"59","RGT Reform",11.4020794905197,0.267660731225803,436,10.8760137757046,11.9281452053348,2013
"60","Ritmo",10.354313285996,0.137181297190031,436,10.0846944411433,10.6239321308487,1989
"61","Robigus",11.2034532342788,0.19042449312577,436,10.8291891551375,11.57771731342,2002
"62","Saiga",8.34630391550642,0.197720128283372,436,7.95770085019173,8.73490698082112,1979
"63","Sarno",8.74685819667752,0.223612888619181,436,8.30736498616965,9.18635140718539,1982
"64","Semper",10.1510908153925,0.173218026417009,436,9.81064466750744,10.4915369632775,1996
"65","SW Tataros",10.8350842738159,0.152105478495543,436,10.536133146747,11.1340354008848,2000
"66","Swifta",7.94933704090177,0.249736074419911,436,7.45850080241751,8.44017327938603,1979
"67","Tabasco",11.1131784510212,0.174711402481434,436,10.7697971921723,11.4565597098701,2006
"68","Tambor",9.36444069912024,0.184760524301971,436,9.0013086967477,9.72757270149278,1994
"69","Taurus",8.96186203456599,0.177503268916394,436,8.61299358600101,9.31073048313097,1984
"70","Tombola",8.45889189979259,0.233107595023041,436,8.00073760482743,8.91704619475775,1985
"71","Toronto",9.39193492451848,0.199790881982883,436,8.99926195877368,9.78460789026328,1990
"72","Tower",9.83786927054881,0.184760524301971,436,9.47473726817627,10.2010012729213,1994
"73","Trawler",9.15409067603192,0.216564329991014,436,8.7284508425815,9.57973050948234,1992
"74","Tuareg",10.9541814831677,0.208041745337947,436,10.5452921067868,11.3630708595486,2005
"75","Tulsa",10.5257195710317,0.169037968324348,436,10.1934889923055,10.8579501497579,2000
"76","Versailles",10.1955412139405,0.173630537192684,436,9.85428430918763,10.5367981186933,1993
"77","Virtuose",10.6277059015625,0.21498962868962,436,10.2051610173112,11.0502507858138,1998
"78","Vivant",10.2794546401084,0.127320725344061,436,10.0292159589161,10.5296933213006,1990
