"","variety","emmean","SE","df","lower.CL","upper.CL","yr_release"
"28","Granta",8.96305778543768,0.182225647288607,446,8.6049302316766,9.32118533919877,1982
"29","Harlem",10.668117167796,0.200663924221372,446,10.2737529200692,11.0624814155228,2001
"30","Harrier",9.97000839135722,0.198573407986744,446,9.57975262932574,10.3602641533887,1995
"31","Henrik",11.2356349832492,0.175527224582871,446,10.8906718208532,11.5805981456452,2008
"32","Hereward",9.18402881311152,0.137141508111479,446,8.91450499168542,9.45355263453762,1990
"33","Herzog",9.2699905784625,0.161260982618066,446,8.95306482140564,9.58691633551935,1988
"34","Homeros",11.2304974903811,0.214724975637145,446,10.8084990977259,11.6524958830363,2009
"35","Ilias",10.3373444115635,0.148851930154064,446,10.0448061305263,10.6298826926006,2000
"36","Johnny",11.6739289558401,0.245389191954509,446,11.1916662648211,12.156191646859,2013
"37","Julius",11.4542694305079,0.167517091989889,446,11.1250485592411,11.7834903017747,2007
"38","Kampa",10.2274935512166,0.182436823299265,446,9.86895097383374,10.5860361285994,1999
"39","Kelvin",11.0072460943603,0.175527224582871,446,10.6622829319643,11.3522092567563,2008
"40","Koch",10.3534314902392,0.221646331804677,446,9.91783057571149,10.789032404767,2001
"41","Kodex",10.6784732551356,0.190767044678599,446,10.3035593170291,11.0533871932421,2005
"42","Kraka",8.73020007204092,0.195690185698495,446,8.34561069868965,9.11478944539219,1985
"43","KWS Erasmus",11.5035803674936,0.236400384351413,446,11.0389833548576,11.9681773801296,2010
"44","KWS Livius",11.3942913515163,0.223938673149135,446,10.9541853049707,11.8343973980619,2012
"45","Lear",11.2719579039088,0.198416431259848,446,10.8820106477986,11.6619051600189,2008
"46","Limes",10.6474086815226,0.15503867028535,446,10.3427116174495,10.9521057455957,2000
"47","Lincoln",11.0276962045802,0.172155650163379,446,10.6893591879389,11.3660332212215,2005
"48","Marconi",10.5738120939726,0.228236099356014,446,10.1252603277501,11.0223638601951,2007
"49","Marksman",8.65526474094667,0.203839476964353,446,8.25465958831651,9.05586989357684,1977
"50","Mediator",11.1984913515163,0.223938673149135,446,10.7583853049707,11.6385973980619,2012
"51","Miller",9.03964961961738,0.200354195762592,446,8.64589408036232,9.43340515887244,1984
"52","Napier",10.70479172147,0.181496098723586,446,10.3480979474585,11.0614854954815,1998
"53","Nautica",8.34914599924516,0.216694635957358,446,7.92327663868447,8.77501535980586,1974
"54","Obelisk",9.37967022576486,0.152726472783559,446,9.07951731695994,9.67982313456978,1984
"55","Okapi",8.92031447609793,0.164242906129178,446,8.59752835312428,9.24310059907159,1975
"56","Pagode",9.38824462753175,0.177498538309037,446,9.03940724779614,9.73708200726737,1986
"57","Patrel",10.7577115492573,0.223026143120123,446,10.3193988954195,11.1960242030951,2003
"58","Profilus",10.4368675094994,0.20925438517874,446,10.0256204529358,10.8481145660631,2007
"59","Residence",10.4389892399187,0.127659219243187,446,10.1881009342226,10.6898775456147,1995
"60","RGT Reform",11.2249289558401,0.245389191954509,446,10.7426662648211,11.707191646859,2013
"61","Ritmo",10.3344517610287,0.125664852106015,446,10.0874829794762,10.5814205425811,1989
"62","Robigus",11.2290284926942,0.174628696331452,446,10.8858312053517,11.5722257800366,2002
"63","Saiga",9.0169438097058,0.181564840583191,446,8.66011493751034,9.37377268190125,1979
"64","Sarno",9.1299808226732,0.205127295244542,446,8.72684472438728,9.53311692095913,1982
"65","Semper",10.2059435921723,0.158868925260803,446,9.89371893873371,10.5181682456109,1996
"66","SW Tataros",10.6548478517886,0.139532138628279,446,10.3806257309097,10.9290699726674,2000
"67","Swifta",8.35303478342203,0.228508816970645,446,7.90394704603605,8.80212252080802,1979
"68","Tabasco",11.6031750529072,0.160236033546044,446,11.2882636253882,11.9180864804261,2006
"69","Tambor",9.18248421676254,0.169472419354927,446,8.84942054610685,9.51554788741824,1994
"70","Taurus",8.93342047573053,0.162947887190094,446,8.61317944984737,9.25366150161368,1984
"71","Tombola",8.50078410530966,0.214415840104965,446,8.07939325584925,8.92217495477007,1985
"72","Toronto",9.63539121337295,0.18320153615408,446,9.27534574796038,9.99543667878553,1990
"73","Tower",9.8381270739054,0.169472419354927,446,9.50506340324971,10.1711907445611,1994
"74","Trawler",9.29419432533574,0.198603551086799,446,8.90387932315423,9.68450932751725,1992
"75","Tuareg",11.1063565884689,0.190767044678599,446,10.7314426503624,11.4812705265754,2005
"76","Tulsa",10.5888975704115,0.15503867028535,446,10.2842005063384,10.8935946344846,2000
"77","Versailles",10.4004287975445,0.159279948494172,446,10.0873963612977,10.7134612337914,1993
"78","Virtuose",9.99556843485624,0.197130960273073,446,9.60814751127265,10.3829893584398,1998
"79","Vivant",10.6759028603456,0.116838401166003,446,10.4462806780813,10.9055250426099,1990
